intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,Point ID,Block Number
5,0,15,1.954,564089914,564089914,-15,0,1
100,1,16,2.132,564089916,564089916,1,1,1
96,2,17,2.186,564089919,564089919,-13,2,1
100,3,17,2.128,564089921,564089921,3,3,1
100,4,18,2.154,564089923,564089923,-11,4,1
100,5,19,2.13,564089926,564089926,5,5,1
75,6,20,2.056,564089928,564089928,-9,6,1
99,7,21,2.166,564089930,564089930,7,7,1
100,8,22,2.138,564089932,564089932,-7,8,1
100,9,22,2.162,564089935,564089935,9,9,1
100,10,23,2.116,564089937,564089937,-5,10,1
100,11,24,2.17,564089939,564089939,11,11,1
98,12,25,2.13,564089942,564089942,-3,12,1
100,13,26,2.196,564089944,564089944,13,13,1
100,14,27,2.108,564089946,564089946,-1,14,1
100,15,27,2.206,564089949,564089949,15,15,1
5,0,35,1.96,564089969,564089969,-15,16,1
100,1,36,2.126,564089972,564089972,1,17,1
100,2,37,2.17,564089974,564089974,-13,18,1
100,3,38,2.136,564089976,564089976,3,19,1
100,4,38,2.154,564089979,564089979,-11,20,1
100,5,39,2.138,564089981,564089981,5,21,1
82,6,40,2.042,564089983,564089983,-9,22,1
99,7,41,2.148,564089985,564089985,7,23,1
100,8,42,2.13,564089988,564089988,-7,24,1
100,9,43,2.162,564089990,564089990,9,25,1
100,10,43,2.128,564089992,564089992,-5,26,1
100,11,44,2.154,564089995,564089995,11,27,1
100,12,45,2.122,564089997,564089997,-3,28,1
100,13,46,2.192,564089999,564089999,13,29,1
100,14,47,2.104,564090002,564090002,-1,30,1
100,15,48,2.206,564090004,564090004,15,31,1
5,0,55,1.964,564090025,564090025,-15,32,1
100,1,56,2.12,564090027,564090027,1,33,1
96,2,57,2.162,564090029,564090029,-13,34,1
100,3,57,2.132,564090032,564090032,3,35,1
100,4,58,2.158,564090034,564090034,-11,36,1
100,5,59,2.14,564090036,564090036,5,37,1
78,6,60,2.044,564090038,564090038,-9,38,1
99,7,61,2.14,564090041,564090041,7,39,1
100,8,62,2.13,564090043,564090043,-7,40,1
100,9,63,2.162,564090045,564090045,9,41,1
100,10,63,2.124,564090048,564090048,-5,42,1
100,11,64,2.154,564090050,564090050,11,43,1
100,12,65,2.106,564090052,564090052,-3,44,1
100,13,66,2.194,564090055,564090055,13,45,1
100,14,67,2.112,564090057,564090057,-1,46,1
100,15,67,2.198,564090059,564090059,15,47,1
5,0,75,1.96,564090080,564090080,-15,48,1
100,1,76,2.126,564090082,564090082,1,49,1
96,2,77,2.158,564090084,564090084,-13,50,1
100,3,77,2.116,564090087,564090087,3,51,1
100,4,78,2.146,564090089,564090089,-11,52,1
100,5,79,2.136,564090091,564090091,5,53,1
78,6,80,2.044,564090094,564090094,-9,54,1
100,7,81,2.14,564090096,564090096,7,55,1
100,8,82,2.116,564090098,564090098,-7,56,1
100,9,83,2.154,564090101,564090101,9,57,1
100,10,83,2.12,564090103,564090103,-5,58,1
100,11,84,2.15,564090105,564090105,11,59,1
98,12,85,2.102,564090108,564090108,-3,60,1
100,13,86,2.178,564090110,564090110,13,61,1
100,14,87,2.098,564090112,564090112,-1,62,1
100,15,87,2.206,564090114,564090114,15,63,1
5,0,95,1.968,564090135,564090135,-15,64,1
100,1,96,2.122,564090137,564090137,1,65,1
100,2,97,2.158,564090140,564090140,-13,66,1
100,3,98,2.116,564090142,564090142,3,67,1
100,4,98,2.13,564090144,564090144,-11,68,1
100,5,99,2.132,564090147,564090147,5,69,1
82,6,100,2.046,564090149,564090149,-9,70,1
95,7,101,2.146,564090151,564090151,7,71,1
100,8,102,2.116,564090154,564090154,-7,72,1
100,9,102,2.142,564090156,564090156,9,73,1
100,10,103,2.112,564090158,564090158,-5,74,1
100,11,104,2.156,564090161,564090161,11,75,1
98,12,105,2.106,564090163,564090163,-3,76,1
100,13,106,2.172,564090165,564090165,13,77,1
100,14,107,2.092,564090167,564090167,-1,78,1
100,15,108,2.198,564090170,564090170,15,79,1
4,0,115,1.966,564090190,564090190,-15,80,1
100,1,116,2.114,564090193,564090193,1,81,1
99,2,117,2.162,564090195,564090195,-13,82,1
100,3,117,2.116,564090197,564090197,3,83,1
100,4,118,2.13,564090200,564090200,-11,84,1
100,5,119,2.12,564090202,564090202,5,85,1
82,6,120,2.038,564090204,564090204,-9,86,1
99,7,121,2.144,564090207,564090207,7,87,1
100,8,122,2.116,564090209,564090209,-7,88,1
100,9,123,2.146,564090211,564090211,9,89,1
100,10,123,2.102,564090214,564090214,-5,90,1
100,11,124,2.154,564090216,564090216,11,91,1
100,12,125,2.106,564090218,564090218,-3,92,1
100,13,126,2.18,564090220,564090220,13,93,1
100,14,127,2.09,564090223,564090223,-1,94,1
100,15,128,2.178,564090225,564090225,15,95,1
4,0,135,1.962,564090246,564090246,-15,96,1
100,1,136,2.094,564090248,564090248,1,97,1
99,2,137,2.158,564090250,564090250,-13,98,1
100,3,137,2.116,564090253,564090253,3,99,1
100,4,138,2.13,564090255,564090255,-11,100,1
100,5,139,2.106,564090257,564090257,5,101,1
87,6,140,2.032,564090260,564090260,-9,102,1
100,7,141,2.136,564090262,564090262,7,103,1
100,8,142,2.12,564090264,564090264,-7,104,1
100,9,142,2.15,564090267,564090267,9,105,1
100,10,143,2.106,564090269,564090269,-5,106,1
